fact_id,date_key,mode_id,ridership_value,recovery_pct
575,20200522,1,9782,33
576,20200522,2,626983,65
577,20200522,3,16453,1
578,20200522,4,22830,7
579,20200522,5,14711,5
580,20200522,6,1046,6
581,20200522,7,633883,11
582,20200523,1,5550,32
583,20200523,2,394091,41
584,20200523,3,7186,1
585,20200523,4,10983,9
586,20200523,5,7613,5
587,20200523,6,420,9
588,20200523,7,335830,10
589,20200524,1,4117,24
590,20200524,2,461170,54
591,20200524,3,6642,1
592,20200524,4,11871,12
593,20200524,5,8977,9
594,20200524,6,361,10
595,20200524,7,320015,13
596,20200525,1,5428,32
597,20200525,2,445015,52
598,20200525,3,7996,1
599,20200525,4,19321,20
600,20200525,5,12982,12
601,20200525,6,441,13
602,20200525,7,393918,16
603,20200526,1,9875,34
604,20200526,2,587269,61
605,20200526,3,17819,1
606,20200526,4,26691,8
607,20200526,5,14937,5
608,20200526,6,1173,7
609,20200526,7,656766,11
610,20200527,1,11088,38
611,20200527,2,601140,62
612,20200527,3,17911,1
613,20200527,4,26483,8
614,20200527,5,14432,5
615,20200527,6,1240,7
616,20200527,7,674465,12
617,20200528,1,10030,34
618,20200528,2,584628,61
619,20200528,3,17535,1
620,20200528,4,25175,8
621,20200528,5,14161,5
622,20200528,6,1191,7
623,20200528,7,658057,12
624,20200529,1,10185,35
625,20200529,2,598607,62
626,20200529,3,16378,1
627,20200529,4,25070,8
628,20200529,5,15697,5
629,20200529,6,1094,6
630,20200529,7,657259,11
631,20200530,1,6143,35
632,20200530,2,537179,56
633,20200530,3,9112,1
634,20200530,4,15557,13
635,20200530,5,11003,7
636,20200530,6,18,0
637,20200530,7,426737,13
638,20200531,1,4216,25
639,20200531,2,495487,58
640,20200531,3,6724,1
641,20200531,4,13554,14
642,20200531,5,9390,9
643,20200531,6,2,0
644,20200531,7,344426,14
645,20200601,1,10760,37
646,20200601,2,595059,61
647,20200601,3,17833,1
648,20200601,4,34339,10
649,20200601,5,16184,5
650,20200601,6,1358,8
651,20200601,7,687162,12
652,20200602,1,11206,38
653,20200602,2,579411,59
654,20200602,3,16576,1
655,20200602,4,33769,10
656,20200602,5,16294,6
657,20200602,6,1516,9
658,20200602,7,693760,12
659,20200603,1,11962,41
660,20200603,2,582624,59
661,20200603,3,17830,1
662,20200603,4,32523,10
663,20200603,5,15649,5
664,20200603,6,1323,8
665,20200603,7,681714,12
666,20200604,1,12000,41
667,20200604,2,650868,66
668,20200604,3,18538,1
669,20200604,4,29771,9
670,20200604,5,17149,6
671,20200604,6,1346,8
672,20200604,7,726672,13
673,20200605,1,11698,40
674,20200605,2,643562,65
675,20200605,3,16863,1
676,20200605,4,33482,10
677,20200605,5,18065,6
678,20200605,6,1249,8
679,20200605,7,703576,13
680,20200606,1,6591,38
681,20200606,2,551793,56
682,20200606,3,8912,1
683,20200606,4,18090,15
684,20200606,5,12179,8
685,20200606,6,9,0
686,20200606,7,464198,14
687,20200607,1,4650,26
688,20200607,2,538418,58
689,20200607,3,7579,1
690,20200607,4,16797,17
691,20200607,5,11231,10
692,20200607,6,95,2
693,20200607,7,377990,14
694,20200608,1,11957,41
695,20200608,2,644829,66
696,20200608,3,25663,1
697,20200608,4,42630,13
698,20200608,5,20140,7
699,20200608,6,1596,10
700,20200608,7,804542,14
701,20200609,1,12869,44
702,20200609,2,680462,69
703,20200609,3,26247,1
704,20200609,4,42274,13
705,20200609,5,19543,7
706,20200609,6,1662,10
707,20200609,7,842306,15
708,20200610,1,13616,46
709,20200610,2,680270,69
710,20200610,3,26735,1
711,20200610,4,43083,13
712,20200610,5,20517,7
713,20200610,6,1767,11
714,20200610,7,857015,15
715,20200611,1,12514,43
716,20200611,2,656695,67
717,20200611,3,24284,1
718,20200611,4,40961,12
719,20200611,5,19525,7
720,20200611,6,1576,10
721,20200611,7,818297,15
722,20200612,1,13224,45
723,20200612,2,765491,78
724,20200612,3,24459,1
725,20200612,4,45072,14
726,20200612,5,24165,8
727,20200612,6,1656,10
728,20200612,7,896658,16
729,20200613,1,7794,45
730,20200613,2,631064,64
731,20200613,3,12115,1
732,20200613,4,25355,21
733,20200613,5,16675,11
734,20200613,6,17,0
735,20200613,7,545316,17
736,20200614,1,5195,29
737,20200614,2,563725,61
738,20200614,3,8731,1
739,20200614,4,20859,21
740,20200614,5,13794,13
741,20200614,6,7,0
742,20200614,7,430439,16
743,20200615,1,12953,44
744,20200615,2,674785,69
745,20200615,3,27057,1
746,20200615,4,47545,14
747,20200615,5,22841,8
748,20200615,6,1813,11
749,20200615,7,897112,16
750,20200616,1,12939,44
751,20200616,2,695359,71
752,20200616,3,28049,1
753,20200616,4,46876,14
754,20200616,5,22555,8
755,20200616,6,1874,12
756,20200616,7,932671,17
757,20200617,1,14595,50
758,20200617,2,709679,72
759,20200617,3,27924,1
760,20200617,4,47166,14
761,20200617,5,24167,8
762,20200617,6,1857,11
763,20200617,7,948461,17
764,20200618,1,13808,47
765,20200618,2,729486,74
766,20200618,3,27516,1
767,20200618,4,47851,14
768,20200618,5,24081,8
769,20200618,6,1936,12
770,20200618,7,942382,17
771,20200619,1,13868,77
772,20200619,2,797518,86
773,20200619,3,25578,2
774,20200619,4,50201,51
775,20200619,5,27772,25
776,20200619,6,1751,45
777,20200619,7,986929,38
778,20200620,1,8185,47
779,20200620,2,666226,68
780,20200620,3,11899,1
781,20200620,4,28959,24
782,20200620,5,18559,12
783,20200620,6,22,0
784,20200620,7,576075,18
785,20200621,1,6328,35
786,20200621,2,654913,71
787,20200621,3,9072,1
788,20200621,4,27094,28
789,20200621,5,16719,15
790,20200621,6,0,0
791,20200621,7,449497,17
792,20200622,1,13314,45
793,20200622,2,733290,75
794,20200622,3,30863,1
795,20200622,4,53878,16
796,20200622,5,25367,9
797,20200622,6,2027,13
798,20200622,7,1000046,18
799,20200623,1,15069,51
800,20200623,2,744822,76
801,20200623,3,32305,2
802,20200623,4,52898,16
803,20200623,5,24909,8
804,20200623,6,2219,14
805,20200623,7,1050786,19
806,20200624,1,15155,52
807,20200624,2,752749,77
808,20200624,3,32504,2
809,20200624,4,52354,16
810,20200624,5,25277,9
811,20200624,6,2194,14
812,20200624,7,1068333,19
813,20200625,1,14854,51
814,20200625,2,781617,79
815,20200625,3,32393,2
816,20200625,4,53444,16
817,20200625,5,25644,9
818,20200625,6,2210,14
819,20200625,7,1078796,19
820,20200626,1,15048,51
821,20200626,2,830887,85
822,20200626,3,30480,1
823,20200626,4,55647,17
824,20200626,5,29700,10
825,20200626,6,2115,13
826,20200626,7,1102382,20
827,20200627,1,8541,49
828,20200627,2,630730,64
829,20200627,3,12942,1
830,20200627,4,26773,22
831,20200627,5,17932,11
832,20200627,6,686,14
833,20200627,7,615398,19
834,20200628,1,5748,32
835,20200628,2,623131,67
836,20200628,3,10167,1
837,20200628,4,25680,26
838,20200628,5,15918,15
839,20200628,6,590,15
840,20200628,7,535898,20
841,20200629,1,14705,50
842,20200629,2,767165,78
843,20200629,3,33264,2
844,20200629,4,63309,19
845,20200629,5,28163,10
846,20200629,6,2317,14
847,20200629,7,1100769,20
848,20200630,1,15291,52
849,20200630,2,758785,77
850,20200630,3,33996,2
851,20200630,4,57955,17
852,20200630,5,27077,9
853,20200630,6,2386,15
854,20200630,7,1113124,20
855,20200701,1,16451,58
856,20200701,2,779409,81
857,20200701,3,32921,2
858,20200701,4,56505,18
859,20200701,5,27770,10
860,20200701,6,2305,17
861,20200701,7,1120537,21
862,20200702,1,15981,56
863,20200702,2,881471,92
864,20200702,3,32730,2
865,20200702,4,64261,20
866,20200702,5,31948,11
867,20200702,6,2365,17
868,20200702,7,1170483,22
869,20200703,1,10915,66
870,20200703,2,713240,81
871,20200703,3,16862,2
872,20200703,4,56181,54
873,20200703,5,32049,30
874,20200703,6,1138,32
875,20200703,7,851877,36
876,20200704,1,8391,53
877,20200704,2,569212,62
878,20200704,3,10769,1
879,20200704,4,38388,30
880,20200704,5,22085,14
881,20200704,6,690,14
882,20200704,7,591605,21
883,20200705,1,6280,38
884,20200705,2,659099,75
885,20200705,3,9832,1
886,20200705,4,34569,33
887,20200705,5,19136,18
888,20200705,6,528,15
889,20200705,7,533692,23
890,20200706,1,14886,53
891,20200706,2,750583,78
892,20200706,3,31548,2
893,20200706,4,63862,20
894,20200706,5,30556,11
895,20200706,6,2222,16
896,20200706,7,1084956,21
897,20200707,1,16003,56
898,20200707,2,749832,78
899,20200707,3,33595,2
900,20200707,4,61756,20
901,20200707,5,30507,11
902,20200707,6,2403,17
903,20200707,7,1157185,22
904,20200708,1,16980,60
905,20200708,2,758208,79
906,20200708,3,34242,2
907,20200708,4,63048,20
908,20200708,5,30174,11
909,20200708,6,2454,18
910,20200708,7,1172279,22
911,20200709,1,17017,60
912,20200709,2,818034,85
913,20200709,3,34762,2
914,20200709,4,65483,21
915,20200709,5,31913,11
916,20200709,6,2571,19
917,20200709,7,1211280,23
918,20200710,1,15738,56
919,20200710,2,712635,74
920,20200710,3,25544,1
921,20200710,4,55929,18
922,20200710,5,29683,10
923,20200710,6,2117,15
924,20200710,7,1030632,20
925,20200711,1,8453,53
926,20200711,2,625288,68
927,20200711,3,12872,1
928,20200711,4,30059,24
929,20200711,5,18683,12
930,20200711,6,812,16
931,20200711,7,692977,25
932,20200712,1,7395,45
933,20200712,2,703589,80
934,20200712,3,10966,1
935,20200712,4,34905,33
936,20200712,5,19859,19
937,20200712,6,731,20
938,20200712,7,628187,27
939,20200713,1,15928,56
940,20200713,2,756122,79
941,20200713,3,33302,2
942,20200713,4,66384,21
943,20200713,5,31876,11
944,20200713,6,2504,18
945,20200713,7,1175700,22
946,20200714,1,17081,60
947,20200714,2,794837,83
948,20200714,3,35391,2
949,20200714,4,66321,21
950,20200714,5,31921,11
951,20200714,6,2669,19
952,20200714,7,1241080,24
953,20200715,1,18149,64
954,20200715,2,803399,84
955,20200715,3,34701,2
956,20200715,4,66549,21
957,20200715,5,32603,12
958,20200715,6,2751,20
959,20200715,7,1248413,24
960,20200716,1,17230,61
961,20200716,2,819850,85
962,20200716,3,34199,2
963,20200716,4,66732,21
964,20200716,5,33258,12
965,20200716,6,2756,20
966,20200716,7,1249128,24
967,20200717,1,16401,58
968,20200717,2,819471,85
969,20200717,3,29696,1
970,20200717,4,64806,20
971,20200717,5,35414,13
972,20200717,6,2427,18
973,20200717,7,1207265,23
974,20200718,1,9785,62
975,20200718,2,747444,81
976,20200718,3,14335,1
977,20200718,4,41235,32
978,20200718,5,24071,16
979,20200718,6,786,15
980,20200718,7,778936,28
981,20200719,1,7052,43
982,20200719,2,696110,79
983,20200719,3,9845,1
984,20200719,4,36429,35
985,20200719,5,18675,18
986,20200719,6,504,14
987,20200719,7,584994,25
988,20200720,1,15957,56
989,20200720,2,770606,80
990,20200720,3,30196,1
991,20200720,4,67721,21
992,20200720,5,32279,11
993,20200720,6,2428,18
994,20200720,7,1156735,22
995,20200721,1,16831,59
996,20200721,2,792954,82
997,20200721,3,32482,2
998,20200721,4,67594,21
999,20200721,5,33213,12
1000,20200721,6,2725,20
1001,20200721,7,1241819,24
1002,20200722,1,17582,62
1003,20200722,2,784013,82
1004,20200722,3,33863,2
1005,20200722,4,65348,21
1006,20200722,5,32485,11
1007,20200722,6,2716,20
1008,20200722,7,1233668,23
1009,20200723,1,17056,60
1010,20200723,2,791577,82
1011,20200723,3,33999,2
1012,20200723,4,65637,21
1013,20200723,5,32975,12
1014,20200723,6,2632,19
1015,20200723,7,1233795,23
1016,20200724,1,17311,61
1017,20200724,2,826030,86
1018,20200724,3,29987,1
1019,20200724,4,65889,21
1020,20200724,5,36639,13
1021,20200724,6,2511,18
1022,20200724,7,1218138,23
1023,20200725,1,10350,65
1024,20200725,2,769898,83
1025,20200725,3,14777,1
1026,20200725,4,43340,34
1027,20200725,5,25173,16
1028,20200725,6,799,16
1029,20200725,7,816604,29
1030,20200726,1,7429,45
1031,20200726,2,697533,79
1032,20200726,3,9711,1
1033,20200726,4,36164,35
1034,20200726,5,20170,19
1035,20200726,6,542,15
1036,20200726,7,606910,26
1037,20200727,1,16607,59
1038,20200727,2,793224,83
1039,20200727,3,32072,2
1040,20200727,4,70114,22
1041,20200727,5,31568,11
1042,20200727,6,2626,19
1043,20200727,7,1203503,23
1044,20200728,1,16892,60
1045,20200728,2,782225,81
1046,20200728,3,33753,2
1047,20200728,4,66687,21
1048,20200728,5,31677,11
1049,20200728,6,2635,19
1050,20200728,7,1241770,24
1051,20200729,1,18216,64
1052,20200729,2,816959,85
1053,20200729,3,35257,2
1054,20200729,4,69995,22
1055,20200729,5,33733,12
1056,20200729,6,2778,20
1057,20200729,7,1296102,25
1058,20200730,1,17333,61
1059,20200730,2,820274,85
1060,20200730,3,33982,2
1061,20200730,4,68958,22
1062,20200730,5,34122,12
1063,20200730,6,2746,20
1064,20200730,7,1270172,24
1065,20200731,1,17654,62
1066,20200731,2,859774,89
