date,date_key,year,quarter,month,month_name,day,day_name,transport_mode,value_type,ridership_value,recovery_pct
2020-03-28,20200328,2020,1,3,March,28,Saturday,Staten Island Railway,Estimated Ridership,600,12
2020-03-28,20200328,2020,1,3,March,28,Saturday,Subways,Estimated Ridership,332393,11
2020-03-29,20200329,2020,1,3,March,29,Sunday,Access-A-Ride,Scheduled Trips,3374,19
2020-03-29,20200329,2020,1,3,March,29,Sunday,Bridges and Tunnels,Total Traffic,197154,24
2020-03-29,20200329,2020,1,3,March,29,Sunday,Buses,Estimated Ridership,14307,1
2020-03-29,20200329,2020,1,3,March,29,Sunday,LIRR,Estimated Ridership,4358,5
2020-03-29,20200329,2020,1,3,March,29,Sunday,Metro-North,Estimated Ridership,18152,19
2020-03-29,20200329,2020,1,3,March,29,Sunday,Staten Island Railway,Estimated Ridership,419,13
2020-03-29,20200329,2020,1,3,March,29,Sunday,Subways,Estimated Ridership,263700,12
2020-03-30,20200330,2020,1,3,March,30,Monday,Access-A-Ride,Scheduled Trips,8084,27
2020-03-30,20200330,2020,1,3,March,30,Monday,Bridges and Tunnels,Total Traffic,344689,37
2020-03-30,20200330,2020,1,3,March,30,Monday,Buses,Estimated Ridership,33659,2
2020-03-30,20200330,2020,1,3,March,30,Monday,LIRR,Estimated Ridership,19741,6
2020-03-30,20200330,2020,1,3,March,30,Monday,Metro-North,Estimated Ridership,137762,50
2020-03-30,20200330,2020,1,3,March,30,Monday,Staten Island Railway,Estimated Ridership,1140,7
2020-03-30,20200330,2020,1,3,March,30,Monday,Subways,Estimated Ridership,545215,10
2020-03-31,20200331,2020,1,3,March,31,Tuesday,Access-A-Ride,Scheduled Trips,7672,26
2020-03-31,20200331,2020,1,3,March,31,Tuesday,Bridges and Tunnels,Total Traffic,337626,37
2020-03-31,20200331,2020,1,3,March,31,Tuesday,Buses,Estimated Ridership,32211,1
2020-03-31,20200331,2020,1,3,March,31,Tuesday,LIRR,Estimated Ridership,16194,5
2020-03-31,20200331,2020,1,3,March,31,Tuesday,Metro-North,Estimated Ridership,137464,50
2020-03-31,20200331,2020,1,3,March,31,Tuesday,Staten Island Railway,Estimated Ridership,1043,7
2020-03-31,20200331,2020,1,3,March,31,Tuesday,Subways,Estimated Ridership,508106,9
2020-04-01,20200401,2020,2,4,April,1,Wednesday,Access-A-Ride,Scheduled Trips,8151,28
2020-04-01,20200401,2020,2,4,April,1,Wednesday,Bridges and Tunnels,Total Traffic,342221,36
2020-04-01,20200401,2020,2,4,April,1,Wednesday,Buses,Estimated Ridership,29373,1
2020-04-01,20200401,2020,2,4,April,1,Wednesday,LIRR,Estimated Ridership,10548,3
2020-04-01,20200401,2020,2,4,April,1,Wednesday,Metro-North,Estimated Ridership,9300,3
2020-04-01,20200401,2020,2,4,April,1,Wednesday,Staten Island Railway,Estimated Ridership,720,4
2020-04-01,20200401,2020,2,4,April,1,Wednesday,Subways,Estimated Ridership,513481,9
2020-04-02,20200402,2020,2,4,April,2,Thursday,Access-A-Ride,Scheduled Trips,7077,24
2020-04-02,20200402,2020,2,4,April,2,Thursday,Bridges and Tunnels,Total Traffic,339734,36
2020-04-02,20200402,2020,2,4,April,2,Thursday,Buses,Estimated Ridership,26788,1
2020-04-02,20200402,2020,2,4,April,2,Thursday,LIRR,Estimated Ridership,10057,3
2020-04-02,20200402,2020,2,4,April,2,Thursday,Metro-North,Estimated Ridership,9492,3
2020-04-02,20200402,2020,2,4,April,2,Thursday,Staten Island Railway,Estimated Ridership,882,5
2020-04-02,20200402,2020,2,4,April,2,Thursday,Subways,Estimated Ridership,485586,9
2020-04-03,20200403,2020,2,4,April,3,Friday,Access-A-Ride,Scheduled Trips,7794,27
